sensor_id,cluster_geo
1,2
2,2
4,2
5,2
6,2
11,1
12,2
13,2
14,2
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
42,0
43,0
44,0
45,0
47,1
48,1
49,2
50,2
51,2
54,2
56,1
61,1
63,1
101,2
103,2
104,2
105,2
