sensor_id,cctv_300m
1,52
2,53
4,184
5,49
6,49
11,7
12,7
13,55
14,8
19,14
20,14
21,4
22,4
23,28
24,34
25,44
26,87
27,79
28,15
29,79
30,80
31,20
32,25
33,25
34,121
35,121
36,118
37,4
38,14
42,4
43,4
44,0
45,31
47,4
48,6
49,4
50,5
51,29
54,49
56,1
61,0
63,0
101,138
103,6
104,110
105,0
