term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.3053055662792197,0.6801380867567889,1.9191772842828385,0.054961901307227154,-0.027740588278065248,2.6383517208365044
C(cluster_geo)[T.1],-0.7957951466059936,0.36008910333919486,-2.2099950796244303,0.02710550377800116,-1.5015568203761371,-0.09003347283584995
C(cluster_geo)[T.2],0.9074312004887621,0.31954179132709004,2.8397888010832846,0.004514341098379855,0.2811407979322522,1.533721603045272
C(hour)[T.1],-0.2982409227535151,0.0334083956768107,-8.92712495501629,4.372234520416203e-19,-0.3637201750613277,-0.2327616704457025
C(hour)[T.2],-0.48459722783315917,0.05951499458779793,-8.142439248957166,3.873928916044292e-16,-0.6012444737653393,-0.367949981900979
C(hour)[T.3],-0.5499481690783588,0.09624577273754294,-5.713998167774474,1.1035218682799857e-08,-0.7385864173081699,-0.3613099208485476
C(hour)[T.4],-0.546882768022354,0.14217440861568773,-3.8465626363225134,0.0001197865183257636,-0.8255394884323831,-0.26822604761232494
C(hour)[T.5],-0.03836249464484523,0.10283708015481613,-0.37304146118396586,0.709117586020394,-0.23991946802354358,0.16319447873385312
C(hour)[T.6],0.8039999377032443,0.09744262110855988,8.251008937942215,1.5706280258236859e-16,0.6130159097712845,0.9949839656352041
C(hour)[T.7],1.6724866337560316,0.10834855386277262,15.436169419245749,9.349037552096166e-54,1.4601273704079991,1.884845897104064
C(hour)[T.8],1.6590964579894503,0.1072392685376478,15.47097887381619,5.447239013843662e-54,1.4489113539272411,1.8692815620516594
C(hour)[T.9],1.5477764924055433,0.12285982576621977,12.597905643710455,2.1682567408816808e-36,1.3069756587568864,1.7885773260542002
C(hour)[T.10],1.632278155871466,0.13017466355956017,12.539138655999928,4.5592403250952975e-36,1.3771405035951094,1.8874158081478227
C(hour)[T.11],1.8742302335454415,0.12446342728388048,15.058481631480648,3.036817449036918e-51,1.6302863986766158,2.118174068414267
C(hour)[T.12],2.0149689362439647,0.12436353389600188,16.20224894806357,4.861611010980075e-59,1.7712208888176748,2.2587169836702548
C(hour)[T.13],1.939462471593868,0.12875516371165166,15.063182055651854,2.828392062490193e-51,1.687106987895472,2.191817955292264
C(hour)[T.14],1.9852907793057502,0.12598362747923345,15.758323672915326,6.02089202885101e-56,1.7383674068047419,2.232214151806758
C(hour)[T.15],2.0385838390964617,0.12424090548486362,16.40831440450846,1.6677157266630216e-60,1.795076138939484,2.282091539253439
C(hour)[T.16],2.079502303333891,0.10568478757108721,19.676458184061225,3.4316252522210645e-86,1.8723639259807938,2.2866406806869883
C(hour)[T.17],2.028135935197017,0.11074746946766734,18.313158259468224,6.498869334447162e-75,1.8110748836614396,2.2451969867325943
C(hour)[T.18],1.9039572582558655,0.1031439043970223,18.459231976783997,4.3954722222603044e-76,1.7017989204128592,2.1061155960988716
C(hour)[T.19],1.7105307717730533,0.09536029217502426,17.93755799985958,6.003610015757777e-72,1.5236280335547892,1.8974335099913175
C(hour)[T.20],1.4567645633371629,0.08331672731794768,17.48465896623563,1.8753153107137137e-68,1.293466778484241,1.6200623481900847
C(hour)[T.21],1.2807268713413977,0.06973772163505071,18.36490842135133,2.5087257255360846e-75,1.1440434485728186,1.4174102941099769
C(hour)[T.22],0.9196299668480943,0.065836934344864,13.968298736859936,2.433708909815737e-44,0.7905919466796327,1.0486679870165558
C(hour)[T.23],0.426724559354756,0.03195160176843893,13.355341696085638,1.1025107074398801e-40,0.3641005706402494,0.4893485480692626
C(dow)[T.1],0.05087170626471155,0.012148400181010587,4.187523090013955,2.8201533748230763e-05,0.027061279440150923,0.07468213308927217
C(dow)[T.2],0.06744266974475502,0.02298711255042962,2.9339339421946904,0.0033469543226715593,0.022388757037344297,0.11249658245216573
C(dow)[T.3],0.10853400587179521,0.024956906644219543,4.348856507700789,1.3684921258070526e-05,0.059619367683596526,0.1574486440599939
C(dow)[T.4],0.1984157561453498,0.020587780243569474,9.637549740571197,5.549681051601549e-22,0.15806444834632835,0.23876706394437122
C(dow)[T.5],0.1689842200316236,0.050996946836640814,3.313614451722629,0.0009209840555450668,0.06903204091030378,0.26893639915294343
C(dow)[T.6],-0.056658932752214106,0.04084942165762406,-1.387019214790753,0.16543590376184247,-0.13672232799044776,0.02340446248601953
C(month)[T.2],0.22949700434809445,0.04841818157061599,4.739893091882895,2.1383101224303846e-06,0.1345991122727661,0.3243948964234228
C(month)[T.3],0.287965048081389,0.06550091983876971,4.396351208352707,1.1008576154081632e-05,0.15958560424315524,0.41634449191962275
C(month)[T.4],0.16441126863250813,0.07366252054204654,2.231952795297878,0.02561808296364288,0.02003538135965502,0.3087871559053612
C(month)[T.5],0.22853919958532,0.13218313945351393,1.7289587804478839,0.08381647259121956,-0.030534993107002778,0.4876133922776428
C(month)[T.6],0.19123466053256422,0.12504189642033242,1.5293646850150342,0.12617406208093984,-0.05384295300987524,0.43631227407500367
C(month)[T.7],0.09931534269351375,0.10175571303305912,0.9760173628899586,0.32905586016049226,-0.10012219007247511,0.2987528754595026
C(month)[T.8],0.15660565028292617,0.12898894483521195,1.2141013362268802,0.22470902982472618,-0.09620803599791306,0.4094193365637654
C(month)[T.9],0.3879279097498496,0.120166724073784,3.22824735999008,0.0012455122212511483,0.15240545842507067,0.6234503610746285
C(month)[T.10],0.4229883810496463,0.11911364406402501,3.5511329065063695,0.0003835766660141824,0.1895299286168341,0.6564468334824585
C(month)[T.11],0.6355599107364607,0.15316242679071146,4.1495810954009,3.3308427050192796e-05,0.3353670704419135,0.9357527510310079
C(month)[T.12],0.6147134080604415,0.20769794127138116,2.9596509445283714,0.0030798778222722164,0.20763292350541912,1.021793892615464
temp_c,0.004526938115529208,0.0031340943375578675,1.444416672874201,0.14862180354034893,-0.0016157739102351312,0.010669650141293547
wind_ms,-0.006291245843089377,0.002349971931571552,-2.677157866682299,0.007424964124201052,-0.010897106193649643,-0.0016853854925291106
rain_mm,-0.03685454626952351,0.0030415881177040193,-12.11687606714601,8.597409498329814e-34,-0.042815949436028365,-0.030893143103018657
Dark,-0.162392388917333,0.32798151156295813,-0.49512665559552665,0.6205107191078967,-0.8052243391757382,0.48043956134107224
safety_scaled,2.290255040669414,1.4793735843213431,1.548124871865993,0.1215922349256686,-0.6092639042803469,5.189773985619175
Dark:safety_scaled,-0.8458183443664129,0.6386625129836077,-1.3243588392483625,0.18538389776463204,-2.0975738680901284,0.4059371793573028
