X,Y,OBJECTID,FEATURE_LOCATION,FEAT_CENT_EAST,FEAT_CENT_NORTH,latitude,longitude,nearest_sensor_id,cluster_geo
358937.77,173371.66,1062,The Haymarket/Union Street,358937.77,173371.66,51.45734374660603,-2.591073691763629,1,2
362144.23,171341.74,1063,Watchman camera opp C15,362144.23,171341.74,51.43931391204156,-2.544703134431663,21,0
362044.0,171307.82,1064,J/O Hill Lawn,362044.0,171307.82,51.43900218776988,-2.546141626413867,21,0
358209.07,178488.82,1065,"Glencoyne Square (Rear of Iceland), (Southmead)",358209.07,178488.82,51.503304115874684,-2.602168081825835,63,1
358294.13,178535.27,1066,"Glencoyne Square (South East), (Southmead)",358294.13,178535.27,51.50372807972193,-2.6009480136878556,63,1
358316.78,178495.49,1067,Kirkstone Gardens (Southmead),358316.78,178495.49,51.5033720491731,-2.600616962145049,63,1
358817.37,173602.970000001,1068,Marlborough Street/ Dighton Street,358817.37,173602.97,51.45941495803182,-2.592833645568216,12,2
361005.22,173196.4,1069,"Longlands House, Adjacent to Boiler House PTZ",361005.22,173196.4,51.455914016910405,-2.561295857022094,30,0
360350.64,174356.92,1070,Millponds School,360350.64,174356.92,51.46630407261117,-2.5708476444362973,56,1
358462.38,167769.43,1071,The Brambles (External PTZ),358462.38,167769.43,51.4069331194885,-2.5972590930153308,51,2
358682.92,171650.49,1072,East Street/Dalby Avenue,358682.92,171650.49,51.4418482656383,-2.5945408855992746,13,2
358584.92,171607.359999999,1073,Metrobus East St/ Mill Lane,358584.92,171607.36,51.44145327664193,-2.595945947712985,13,2
358491.22,171530.039999999,1074,East Street/Church Lane,358491.22,171530.04,51.440751145883866,-2.597285104054326,4,2
356046.16,170811.039999999,1075,MetroBus Long Ashton P&R link road,356046.16,170811.04,51.43410134951088,-2.632376446570221,104,2
355884.04,170938.460000001,1076,Long Ashton P&R Waiting Area (Internal),355884.04,170938.46,51.435234513037685,-2.634724638548594,104,2
355894.99,170935.25,1077,Long Ashton P&R Emergency Help Point #3 (Internal),355894.99,170935.25,51.435206501354244,-2.634566704320399,104,2
355887.13,170941.99,1078,Long Ashton P&R Emergency Help Point #2 (External),355887.13,170941.99,51.435266495667214,-2.634680623552755,104,2
355881.36,170934.699999999,1079,Long Ashton P&R Emergency Help Point #1 (External),355881.36,170934.7,51.435200494156966,-2.6347627262783266,104,2
