case_hour,A_case_dark,B_case_light,C_control_dark,D_control_light,OR,percent_effect,case_total
4,55144,1392,688411,3765672,216.69740876027396,21569.740876027397,56536
5,67092,43209,688411,3765672,8.493588391818744,749.3588391818744,110301
6,78011,197087,688411,3765672,2.165172757412795,116.51727574127948,275098
7,73970,508496,688411,3765672,0.7957245652976074,-20.42754347023926,582466
17,112164,471884,688411,3765672,1.3002082713818919,30.020827138189187,584048
18,179157,245930,688411,3765672,3.9848957084353773,298.4895708435377,425087
19,185035,124415,688411,3765672,8.13534225445658,713.534225445658,309450
20,179551,43978,688411,3765672,22.332998729080376,2133.2998729080377,223529
