case_hour,A_case_dark,B_case_light,C_control_dark,D_control_light,OR,percent_effect,case_total
4,88223,3227,2480260,24137971,266.06417904943845,26506.417904943846,91450
5,111975,106127,2480260,24137971,10.268304412804756,926.8304412804756,218102
6,158303,484095,2480260,24137971,3.182453744438985,218.2453744438985,642398
7,198732,1523807,2480260,24137971,1.2692331040105325,26.923310401053246,1722539
17,409124,2056844,2480260,24137971,1.9357851525600969,93.57851525600968,2465968
18,729110,1182258,2480260,24137971,6.0018390546802864,500.1839054680286,1911368
19,801442,604668,2480260,24137971,12.899077864191298,1189.90778641913,1406110
20,745956,212858,2480260,24137971,34.10568574866426,3310.5685748664255,958814
